,note,nrate,ingre,time,rooturl,pattern,recipeurl,budget,level,likes,nutriscore,ecoscore
Dessert de noel aussi simple que délicieux !,5,1,"chocolat au lait,noix et/ou de noisettes.-Concassez le chocolat en assez petits morceau (le chocolat fond plus facilement et plus vite) et faite le fondre au micro-onde. -Décortiquez les noix et les...",10,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-de-noel-aussi-simple-que-delicieux_94350.aspx,bon marché,très facile,84,e,d
Gâteau aux 10 desserts de Noël,3,1,"farine,sucre roux,oeuf entiers,levure (10 g),beurre,poire Abatte épluchée,pomme rouge épluchée,noix émiettées,amandes émiettées,noisettes émiettées,figue sèches coupées en petits dés,datte...",60,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_gateau-aux-10-desserts-de-noel_334934.aspx,Coût moyen,Niveau moyen,163,c,d
Pompe à l'huile et autres desserts de Noël,3,4,"farine,sucre roux,huile d'olive,levure boulanger,eau de fleur d'oranger.Prévoir de faire la recette 24 h à l'avance.Préparer le levain en mélangeant 125 g de farine avec la levure et un peu d'eau...",80,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pompe-a-l-huile-et-autres-desserts-de-noel_13507.aspx,assez cher,Niveau moyen,216,b,b
Petits desserts de semoule,3,3,"lait,semoule (verre doseur, utiliser la colonne ""sucre""),sucre,sucre vanillé,arôme fleur d'oranger,rhum (facultatif).Faire chauffer le lait à feu doux pendant 6 minutes.Ajouter le sucre et le sucre...",10,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_petits-desserts-de-semoule_166016.aspx,bon marché,très facile,410,b,b
Bûche de Noël au Nutella®,4.6,7,"farine,beurre fondu,oeuf,amandes,sucre en poudre,blanc d'oeuf,sucre glace,Nutella®.Faites préchauffer le four à 240°C (thermostat 8).Tamisez la farine et faites fondre...",68,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel-au-nutella_346567.aspx,bon marché,Niveau moyen,1900,,
Trilogie de desserts exotiques,5,1,"farine,sel,levure,fromage blanc,beurre ramollit,sucre,oeuf,jus de citron,citron (zestes),gingembre frais,mangue,sucre,oeuf,fromage blanc,orange (zestes),gingembre,sucre,extrait de vanille.Pour les...",80,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_trilogie-de-desserts-exotiques_254142.aspx,bon marché,facile,262,c,c
Farandole de desserts de Nanou,5,3,"oeuf,chocolat noir,spéculoos,céréale non enrobés (corn flakes ou pétales de blé),pâte sablée toute prête,compote de pommes,pomme,chamallow,fraises.La crousty mousse : Faites fondre le chocolat...",75,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_farandole-de-desserts-de-nanou_70907.aspx,bon marché,très facile,1500,d,d
Crèmes desserts gourmandes au chocolat,3.2,17,"lait demi-écrémé,sucre,maïzena,chocolat noir ou blanc ou au lait selon vos goûts.Dans une casserole, verser le lait.Y ajouter le sucre.Mettre le tout à chauffer doucement.Dans un bol, délayer la...",30,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_cremes-desserts-sans-oeuf-chocolat_223518.aspx,bon marché,très facile,1400,c,b
Crème dessert,4,2,"crème de marron,chocolat noir,sucre,crème fraîche,jaune d'oeuf.Faire fondre le chocolat et la crème de marrons dans une petite casserole à feu doux.Ajouter les jaunes d'oeufs et mélanger.Verser la...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_creme-dessert_56626.aspx,bon marché,très facile,727,d,c
dacquoise (biscuit à l'amande pour desserts),4.6,12,"blanc d'oeuf,poudre d'amandes,sucre glace,sucre semoule,sucre vanillé,citron pressé,papier sulfurisé.Commencer par faire préchauffer le four à 180°C (thermostat 6).Monter les blancs en neige avec...",45,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dacquoise-biscuit-a-l-amande-pour-desserts_43405.aspx,Coût moyen,facile,2100,b,d
Sushi dessert!,3.8,6,"riz au lait un peu collant,chocolat noir à dessert (1/3 de tablette),crème fraîche,fruits frais selon la saison, poire, pomme, mangue, ananas, pêche...,brique de crème anglaise ou de crème vanille...",12,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sushi-dessert_53458.aspx,bon marché,facile,1700,c,c
Dessert qui épate en moins de 2,4.4,45,"pomme,céréale (choco, corn flakes,...),fromage blanc,sucre,cannelle,cassonade.A la fin du merveilleux repas préparé par vos soins, vous allez dans votre cuisine chercher le dessert.Vous sortez la...",5,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_dessert-qui-epate-en-moins-de-2_50026.aspx,bon marché,très facile,5300,b,b
Beurre de Noël,0,0,"amandes,noix de pécan,épices à pain d'épices ,cannelle ,sirop d'érable,arôme naturel de vanille.Préchauffer le four à 180°CDéposer les amandes et les noix de pécan sur une plaque et enfourner...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_beurre-de-noel_383880.aspx,Coût moyen,très facile,0,a,d
Sapin de Noël au Nutella®,5,2,"pâte feuilletée,pomme,citron,beurre,sucre,cannelle,oeuf pour la dorure,Nutella®.Préchauffez votre four à 180°C (thermostat 6). ...",90,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=0&page=1,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_sapin-de-noel-au-nutella_349084.aspx,bon marché,très facile,2300,,
Pudding de Noël,4.9,7,"pruneau,fruit confit,raisin de Malaga,raisin de Smyrne,raisin de Corinthe,pomme,citron,pain,lait chaud,beurre,oeuf,farine,vergeoise brune (ou cassonade),amandes hachées,quatre-épices,rhum,sucre en...",360,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_pudding-de-noel_23254.aspx,Coût moyen,Niveau moyen,745,c,c
Verrines de Noël,4.8,13,"mascarpone,miel,marrons glacés,boudoir,crème de marron,rhum,oeuf.Faire fondre le miel à feu doux.Le mélanger avec le jaune d’œuf et le mascarpone.Ajouter le blanc d’œuf monté en neige.Délayer...",25,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_verrines-de-noel_84683.aspx,Coût moyen,facile,3300,c,c
Bûche de Noël,4.1,18,"fécule de pomme de terre,farine,sucre en poudre,oeuf,oeuf entier,sucre,beurre frais.Préparer le gâteau roulé :Mélanger jaunes d'oeufs et sucre jusqu'à ce que le mélange blanchisse. Ajouter la...",40,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_buche-de-noel_19015.aspx,Coût moyen,difficile,2700,e,c
Boules de Noël,5,1,"chocolat noir ou au lait,confiture de lait,eau.Faites fondre une tablette de chocolat avec l'eau.Ajoutez la confiture de lait.Laissez reposez la pâte 2h au frigo. Râper une demi-tablette.Après 2h,...",20,https://www.marmiton.org/recettes/recherche.aspx?aqt=Desserts-de-Noël&start=12&page=2,Desserts-de-Noël,https://www.marmiton.org/recettes/recette_boules-de-noel_313559.aspx,bon marché,facile,217,e,c
